symbol,ltp,open,high,low,volume,prev_close
NBBD2085,"1,150.00","1,115.40","1,150.00","1,085.00","188,620,553.00",50.11
NBF2,10.37,10.69,10.69,10.37,"2,416.01",32.50
NBF3,10.03,9.75,10.04,9.75,"746,235.52",45.68
NBL,268.00,270.00,272.50,267.30,"27,771,338.40",30.64
NCCD86,"1,181.50","1,162.10","1,181.50","1,162.10","27,645,724.50",42.90
NESDO,"1,540.00","1,550.00","1,550.00","1,526.40","541,139.40",25.34
NFS,620.00,592.60,635.00,592.60,"60,214,519.70",50.11
NGPL,439.90,442.90,443.00,437.00,"73,317,621.70",27.49
NHDL,637.90,636.30,639.00,633.70,"479,166.80",25.51
NHPC,283.50,275.00,291.90,275.00,"72,696,216.70",21.47
NIBLGF,9.40,9.39,9.45,9.39,"42,273.00",45.13
NIBLSTF,9.20,9.20,9.20,9.00,"167,188.90",33.10
NIBSF2,9.22,9.20,9.30,9.15,"20,276.00",24.46
NICA,346.00,347.20,350.90,345.00,"22,155,269.00",36.24
NICBF,9.75,9.50,9.75,9.50,"32,550.00",45.86
NICFC,9.54,9.50,9.54,9.20,"32,483.00",27.65
NICGF2,9.36,9.65,9.65,9.34,"113,276.00",28.60
NICL,563.00,565.00,570.00,557.10,"55,788,736.60",43.74
NICLBSL,578.00,572.00,580.00,572.00,"1,779,769.60",24.91
NICSF,9.35,9.40,9.40,9.13,"24,809.40",33.69
NIFRA,261.50,261.79,264.60,261.30,"18,447,395.01",28.73
NIFRAUR85/86,"1,071.00","1,040.20","1,071.00","1,040.20","62,727.50",39.96
NIL,656.20,663.00,670.00,656.20,"9,519,771.40",39.43
NIMB,197.30,207.90,207.90,197.00,"9,156,793.50",24.41
NIMBPO,145.50,150.00,150.00,145.50,"1,574,155.60",30.15
NLG,647.00,650.00,759.00,631.10,"19,944,384.20",45.14
NLIC,767.60,770.00,777.00,765.20,"20,076,627.00",29.28
NLICL,595.00,585.30,595.00,585.10,"2,538,153.20",31.68
NMB,243.20,244.00,246.00,242.70,"4,015,950.60",24.97
NMB50,10.99,10.99,10.99,10.99,"118,999.72",35.67
NMBHF2,9.71,9.56,9.90,9.56,"160,051.00",34.47
NMBMF,642.00,641.10,652.00,640.10,"1,328,155.50",45.99
NMFBS,"1,146.00","1,140.00","1,146.00","1,136.00","6,870,022.80",35.21
NMIC,"1,067.80","1,137.10","1,137.10","1,058.00","4,940,662.00",40.49
NMLBBL,595.90,583.10,596.90,583.10,"2,537,387.80",42.46
NRIC,"1,070.00","1,085.00","1,099.90","1,055.00","64,057,718.20",43.42
NRM,361.50,365.00,366.00,359.00,"4,729,330.10",25.26
NRN,"1,381.00","1,306.00","1,396.00","1,306.00","68,603,281.40",28.04
NSIF2,10.85,10.75,10.85,10.75,"632,250.00",31.62
NSY,9.69,9.79,9.79,9.41,"132,824.55",31.10
NTC,857.00,851.10,860.00,851.10,"13,423,339.50",27.44
NUBL,666.00,661.00,666.00,655.00,"2,470,679.40",43.98
NWCL,790.00,806.00,806.00,777.20,"2,510,962.00",33.45
NYADI,421.00,435.00,435.00,416.50,"5,403,204.20",42.99
OHL,709.00,702.40,709.00,697.20,"1,442,305.10",42.41
OMPL,"1,155.00","1,154.00","1,165.00","1,154.00","1,510,512.90",24.28
PBD84,"1,110.00","1,110.00","1,110.00","1,110.00","27,750.00",41.01
PBD88,"1,195.00","1,207.00","1,207.00","1,195.00","64,530.00",29.26
PBLD84,"1,076.00","1,085.10","1,085.10","1,085.10","2,152.00",19.15
PCBL,240.00,240.00,242.00,239.00,"8,072,059.50",27.57
PCIL,780.00,749.80,850.00,749.80,"30,641,373.20",32.44
PFL,390.00,374.00,392.00,370.00,"10,202,810.40",50.11
PHCL,307.70,310.00,310.40,304.10,"19,692,905.80",29.02
PMHPL,338.00,338.00,339.90,337.50,"2,419,681.50",29.10
